x, y
-0.00226, 1.02513
1.84111, 0.55402
2.78991, 0
2.83057, 0
2.9887, 0.22236
0.00226, 0.3995
1.87274, 0.55025
1.90437, 0.54397
1.93148, 0.53769
1.95858, 0.53141
1.98569, 0.52638
2.0128, 0.51884
2.04217, 0.51131
2.0738, 0.50377
2.1122, 0.49372
2.14834, 0.48367
2.18449, 0.47487
2.21386, 0.46482
2.24322, 0.45603
2.27259, 0.44724
2.30196, 0.43719
2.32681, 0.42839
2.3494, 0.42085
2.37425, 0.41206
2.39458, 0.3995
2.41943, 0.38945
2.44654, 0.3794
2.47139, 0.36809
2.49623, 0.35678
2.51883, 0.34422
2.54142, 0.33291
2.56401, 0.3191
2.58434, 0.30653
2.60693, 0.29271
2.62274, 0.28015
2.63855, 0.26759
2.65437, 0.25628
2.66792, 0.24497
2.68148, 0.2299
2.69277, 0.21734
2.70181, 0.20603
2.71536, 0.19221
2.7244, 0.1809
2.73569, 0.16206
2.74473, 0.14573
2.74925, 0.13568
2.76054, 0.11558
2.76958, 0.09548
2.77636, 0.07915
2.77861, 0.04774
2.77636, 0.06281
2.78087, 0.03015
2.78313, 0.01508
2.82831, 0.0201
2.82831, 0.0402
2.83509, 0.06156
2.83961, 0.08417
2.84639, 0.1005
2.85316, 0.1206
2.86672, 0.13945
2.88253, 0.15955
2.9006, 0.17588
2.91867, 0.19221
2.94127, 0.20352
2.9616, 0.21231
0.03389, 0.3995
0.06551, 0.3995
0.09714, 0.3995
0.12877, 0.3995
0.15813, 0.3995
0.18976, 0.3995
0.22139, 0.39824
0.26205, 0.3995
0.30045, 0.40075
0.35015, 0.40075
0.44277, 0.40075
0.39759, 0.40075
0.48343, 0.3995
0.51732, 0.3995
0.56702, 0.40201
0.60994, 0.40327
0.65512, 0.40327
0.70256, 0.40327
0.76581, 0.40452
0.82455, 0.40578
0.88328, 0.40704
0.96913, 0.40955
1.05045, 0.41332
1.14533, 0.41583
1.23795, 0.41834
1.4006, 0.42839
1.43675, 0.43216
1.50904, 0.43844
1.58133, 0.44724
1.65587, 0.45477
1.73042, 0.47236
1.7869, 0.49497
1.82304, 0.51508
0.92395, 0.40829
1.01431, 0.41206
1.09111, 0.41332
1.18825, 0.41709
1.2741, 0.42085
1.30572, 0.42211
1.37123, 0.42588
1.34187, 0.42462
1.47063, 0.43342
1.54518, 0.44221
1.61521, 0.45101
1.6875, 0.46231
1.75753, 0.48492
1.8366, 0.57789
1.8366, 0.53392
0.02485, 1.02638
0.05873, 1.02638
0, 1.02638
0.09714, 1.02638
0.15136, 1.02513
0.12199, 1.02638
0.17395, 1.02261
0.21687, 1.02136
0.26657, 1.0201
0.30045, 1.01759
0.37726, 1.01382
0.33886, 1.01508
0.4134, 1.01005
0.45858, 1.00628
0.50377, 1.00377
0.5512, 0.99874
0.58961, 0.99372
0.63705, 0.98869
0.68223, 0.98367
0.75904, 0.97362
0.71386, 0.97739
0.80422, 0.96734
0.84488, 0.9598
0.89006, 0.95352
0.93298, 0.94347
0.97139, 0.93593
1.02108, 0.92714
1.06852, 0.91834
1.11822, 0.90578
1.17244, 0.89447
1.21084, 0.88442
1.27636, 0.86558
1.34187, 0.84673
1.39834, 0.82915
1.42771, 0.81784
1.48193, 0.80025
1.45482, 0.8103
1.51581, 0.78643
1.54518, 0.77387
1.58133, 0.75754
1.61521, 0.74372
1.6378, 0.7299
1.66717, 0.71734
1.68976, 0.70352
1.71461, 0.69221
1.73494, 0.67714
1.75301, 0.66583
1.77108, 0.65075
1.7869, 0.63442
1.80497, 0.61935
1.81852, 0.60302
1.24473, 0.87437
1.30798, 0.85678
1.36672, 0.83794
