Node Number	Total Deformation (m)
1	0.14224
2	0.14224
3	0.14224
4	0.14224
5	0.14224
6	0.14224
7	0.14224
8	0.14224
9	0.14224
10	0.14224
11	0.14224
12	0.14224
13	0.14224
14	0.14224
15	0.14224
16	0.14224
17	0.14224
18	0.14224
19	0.14224
20	0.14224
21	0.14224
22	0.14224
23	0.14224
24	0.14224
25	0.14224
26	0.14224
27	0.14224
28	0.14224
29	0.14224
30	0.14224
31	0.14224
32	0.14224
33	0.14224
34	0.14224
35	0.14224
36	0.14224
37	0.14224
38	0.14224
39	0.14224
40	0.14224
41	0.14224
42	0.14224
43	0.14224
44	0.14224
45	0.14224
46	0.14224
47	0.14224
48	0.14224
49	0.14224
50	0.14224
51	0.14224
52	0.14224
53	0.14224
54	0.14224
55	0.14224
56	0.14224
57	0.14224
58	0.14224
59	0.14224
60	0.14224
61	0.14224
62	0.14224
63	0.14224
64	0.14224
65	0.14224
66	0.14224
67	0.14224
68	0.14224
69	0.14224
70	0.14224
71	0.14224
72	0.14224
73	0.14224
74	0.14224
75	0.14224
76	0.14224
77	0.14224
78	0.14224
79	0.14224
80	0.14224
81	0.14224
82	0.14224
83	0.14224
84	0.14224
85	0.14224
86	0.14224
87	0.14224
88	0.14224
89	0.14224
90	0.14224
91	0.14224
92	0.14224
93	0.14224
94	0.14224
95	0.14224
96	0.14224
97	0.14224
98	0.14224
99	0.14224
100	0.14224
101	0.14224
102	0.14224
103	0.14224
104	0.14224
105	0.14224
106	0.14224
107	0.14224
108	0.14224
109	0.14224
110	0.14224
111	0.14224
112	0.14224
113	0.14224
114	0.14224
115	0.14224
116	0.14224
117	0.14224
118	0.14224
119	0.14224
120	0.14224
121	0.14224
122	0.14224
123	0.14224
124	0.14224
125	0.14224
126	0.14224
127	0.14224
128	0.14224
129	0.14224
130	0.14224
131	0.14224
132	0.14224
133	0.14224
134	0.14224
135	0.14224
136	0.14224
137	0.14224
138	0.14224
139	0.14224
140	0.14224
141	0.14224
142	0.14224
143	0.14224
144	0.14224
145	0.14224
146	0.14224
147	0.14224
148	0.14224
149	0.14224
150	0.14224
151	0.14224
152	0.14224
153	0.14224
154	0.14224
155	0.14224
156	0.14224
157	0.14224
158	0.14224
159	0.14224
160	0.14224
161	0.14224
162	0.14224
163	0.14224
164	0.14224
165	0.14224
166	0.14224
167	0.14224
168	0.14224
169	0.14224
170	0.14224
171	0.14224
172	0.14224
173	0.14224
174	0.14224
175	0.14224
176	0.14224
177	0.14224
178	0.14224
179	0.14224
180	0.14224
181	0.14224
182	0.14224
183	0.14224
184	0.14224
185	0.14224
186	0.14224
187	0.14224
188	0.14224
189	0.14224
190	0.14224
191	0.14224
192	0.14224
193	0.14224
194	0.14224
195	0.14224
196	0.14224
197	0.14224
198	0.14224
199	0.14224
200	0.14224
201	0.14224
202	0.14224
203	0.14224
204	0.14224
205	0.14224
206	0.14224
207	0.14224
208	0.14224
209	0.14224
210	0.14224
211	0.14224
212	0.14224
213	0.14224
214	0.14224
215	0.14224
216	0.14224
217	0.14224
218	0.14224
219	0.14224
220	0.14224
221	0.14224
222	0.14224
223	0.14224
224	0.14224
225	0.14224
226	0.14224
227	0.14224
228	0.14224
229	0.14224
230	0.14224
231	0.14224
232	0.14224
233	0.14224
234	0.14224
235	0.14224
236	0.14224
237	0.14224
238	0.14224
239	0.14224
240	0.14224
241	0.14224
242	0.14224
243	0.14224
244	0.14224
245	0.14224
246	0.14224
247	0.14224
248	0.14224
249	0.14224
250	0.14224
251	0.14224
252	0.14224
253	0.14224
254	0.14224
255	0.14224
256	0.14224
257	0.14224
258	0.14224
259	0.14224
260	0.14224
261	0.14224
262	0.14224
263	0.14224
264	0.14224
265	0.14224
266	0.14224
267	0.14224
268	0.14224
269	0.14224
270	0.14224
271	0.14224
272	0.14224
273	0.14224
274	0.14224
275	0.14224
276	0.14224
277	0.14224
278	0.14224
279	0.14224
280	0.14224
281	0.14224
282	0.14224
283	0.14224
284	0.14224
285	0.14224
286	0.14224
287	0.14224
288	0.14224
289	0.14224
290	0.14224
291	0.14224
292	0.14224
293	0.14224
294	0.14224
295	0.14224
296	0.14224
297	0.14224
298	0.14224
299	0.14224
300	0.14224
301	0.14224
302	0.14224
303	0.14224
304	0.14224
305	0.14224
306	0.14224
307	0.14224
308	0.14224
309	0.14224
310	0.14224
311	0.14224
312	0.14224
313	0.14224
314	0.14224
315	0.14224
316	0.14224
317	0.14224
318	0.14224
319	0.14224
320	0.14224
321	0.14224
322	0.14224
323	0.14224
324	0.14224
325	0.14224
326	0.14224
327	0.14224
328	0.14224
329	0.14224
330	0.14224
331	0.14224
332	0.14224
333	0.14224
334	0.14224
335	0.14224
336	0.14224
337	0.14224
338	0.14224
339	0.14224
340	0.14224
341	0.14224
342	0.14224
343	0.14224
344	0.14224
345	0.14224
346	0.14224
347	0.14224
348	0.14224
349	0.14224
350	0.14224
351	0.14224
352	0.14224
353	0.14224
354	0.14224
355	0.14224
356	0.14224
357	0.14224
358	0.14224
359	0.14224
360	0.14224
361	0.14224
362	0.14224
363	0.14224
364	0.14224
365	0.14224
366	0.14224
367	0.14224
368	0.14224
369	0.14224
370	0.14224
371	0.14224
372	0.14224
373	0.14224
374	0.14224
375	0.14224
376	0.14224
377	0.14224
378	0.14224
379	0.14224
380	0.14224
381	0.14224
382	0.14224
383	0.14224
384	0.14224
385	0.14224
386	0.14224
387	0.14224
388	0.14224
389	0.14224
390	0.14224
391	0.14224
392	0.14224
393	0.14224
394	0.14224
395	0.14224
396	0.14224
397	0.14224
398	0.14224
399	0.14224
400	0.14224
401	0.14224
402	0.14224
403	0.14224
404	0.14224
405	0.14224
406	0.14224
407	0.14224
408	0.14224
409	0.14224
410	0.14224
411	0.14224
412	0.14224
413	0.14224
414	0.14224
415	0.14224
416	0.14224
417	0.14224
418	0.14224
419	0.14224
420	0.14224
421	0.14224
422	0.14224
423	0.14224
424	0.14224
425	0.14224
426	0.14224
427	0.14224
428	0.14224
429	0.14224
430	0.14224
431	0.14224
432	0.14224
433	0.14224
434	0.14224
435	0.14224
436	0.14224
437	0.14224
438	0.14224
439	0.14224
440	0.14224
441	0.14224
442	0.14224
443	0.14224
444	0.14224
445	0.14224
446	0.14224
447	0.14224
448	0.14224
449	0.14224
450	0.14224
451	0.14224
452	0.14224
453	0.14224
454	0.14224
455	0.14224
456	0.14224
457	0.14224
458	0.14224
459	0.14224
460	0.14224
461	0.14224
462	0.14224
463	0.14224
464	0.14224
465	0.14224
466	0.14224
467	0.14224
468	0.14224
469	0.14224
470	0.14224
471	0.14224
472	0.14224
473	0.14224
474	0.14224
475	0.14224
476	0.14224
477	0.14224
478	0.14224
479	0.14224
480	0.14224
481	0.14224
482	0.14224
483	0.14224
484	0.14224
485	0.14224
486	0.14224
487	0.14224
488	0.14224
489	0.14224
490	0.14224
491	0.14224
492	0.14224
493	0.14224
494	0.14224
495	0.14224
496	0.14224
497	0.14224
498	0.14224
499	0.14224
500	0.14224
501	0.14224
502	0.14224
503	0.14224
504	0.14224
505	0.14224
506	0.14224
507	0.14224
508	0.14224
509	0.14224
510	0.14224
511	0.14224
512	0.14224
513	0.14224
514	0.14224
515	0.14224
516	0.14224
517	0.14224
518	0.14224
519	0.14224
520	0.14224
521	0.14224
522	0.14224
523	0.14224
524	0.14224
525	0.14224
526	0.14224
527	0.14224
528	0.14224
529	0.14224
530	0.14224
531	0.14224
532	0.14224
533	0.14224
534	0.14224
535	0.14224
536	0.14224
537	0.14224
538	0.14224
539	0.14224
540	0.14224
541	0.14224
542	0.14224
543	0.14224
544	0.14224
545	0.14224
546	0.14224
547	0.14224
548	0.14224
549	0.14224
550	0.14224
551	0.14224
552	0.14224
553	0.14224
554	0.14224
555	0.14224
556	0.14224
557	0.14224
558	0.14224
559	0.14224
560	0.14224
561	0.14224
562	0.14224
563	0.14224
564	0.14224
565	0.14224
566	0.14224
567	0.14224
568	0.14224
569	0.14224
570	0.14224
571	0.14224
572	0.14224
573	0.14224
574	0.14224
575	0.14224
576	0.14224
577	0.14224
578	0.14224
579	0.14224
580	0.14224
581	0.14224
582	0.14224
583	0.14224
584	0.14224
585	0.14224
586	0.14224
587	0.14224
588	0.14224
589	0.14224
590	0.14224
591	0.14224
592	0.14224
593	0.14224
594	0.14224
595	0.14224
596	0.14224
597	0.14224
598	0.14224
599	0.14224
600	0.14224
601	0.14224
602	0.14224
603	0.14224
604	0.14224
605	0.14224
606	0.14224
607	0.14224
608	0.14224
609	0.14224
610	0.14224
611	0.14224
612	0.14224
613	0.14224
614	0.14224
615	0.14224
616	0.14224
617	0.14224
618	0.14224
619	0.14224
620	0.14224
621	0.14224
622	0.14224
623	0.14224
624	0.14224
625	0.14224
626	0.14224
627	0.14224
628	0.14224
629	0.14224
630	0.14224
631	0.14224
632	0.14224
633	0.14224
634	0.14224
635	0.14224
636	0.14224
637	0.14224
638	0.14224
639	0.14224
640	0.14224
641	0.14224
642	0.14224
643	0.14224
644	0.14224
645	0.14224
646	0.14224
647	0.14224
648	0.14224
649	0.14224
650	0.14224
651	0.14224
652	0.14224
653	0.14224
654	0.14224
655	0.14224
656	0.14224
657	0.14224
658	0.14224
659	0.14224
660	0.14224
661	0.14224
662	0.14224
663	0.14224
664	0.14224
665	0.14224
666	0.14224
667	0.14224
668	0.14224
669	0.14224
670	0.14224
671	0.14224
672	0.14224
673	0.14224
674	0.14224
675	0.14224
676	0.14224
677	0.14224
678	0.14224
679	0.14224
680	0.14224
681	0.14224
682	0.14224
683	0.14224
684	0.14224
685	0.14224
686	0.14224
687	0.14224
688	0.14224
689	0.14224
690	0.14224
691	0.14224
692	0.14224
693	0.14224
694	0.14224
695	0.14224
696	0.14224
697	0.14224
698	0.14224
699	0.14224
700	0.14224
701	0.14224
702	0.14224
703	0.14224
704	0.14224
705	0.14224
706	0.14224
707	0.14224
708	0.14224
709	0.14224
710	0.14224
711	0.14224
712	0.14224
713	0.14224
714	0.14224
715	0.14224
716	0.14224
717	0.14224
718	0.14224
719	0.14224
720	0.14224
721	0.14224
722	0.14224
723	0.14224
724	0.14224
725	0.14224
726	0.14224
727	0.14224
728	0.14224
729	0.14224
730	0.14224
731	0.14224
732	0.14224
733	0.14224
734	0.14224
735	0.14224
736	0.14224
737	0.14224
738	0.14224
739	0.14224
740	0.14224
741	0.14224
742	0.14224
743	0.14224
744	0.14224
745	0.14224
746	0.14224
747	0.14224
748	0.14224
749	0.14224
750	0.14224
751	0.14224
752	0.14224
753	0.14224
754	0.14224
755	0.14224
756	0.14224
757	0.14224
758	0.14224
759	0.14224
760	0.14224
761	0.14224
762	0.14224
763	0.14224
764	0.14224
765	0.14224
766	0.14224
767	0.14224
768	0.14224
769	0.14224
770	0.14224
771	0.14224
772	0.14224
773	0.14224
774	0.14224
775	0.14224
776	0.14224
777	0.14224
778	0.14224
779	0.14224
780	0.14224
781	0.14224
782	0.14224
783	0.14224
784	0.14224
785	0.14224
786	0.14224
787	0.14224
788	0.14224
789	0.14224
790	0.14224
791	0.14224
792	0.14224
793	0.14224
794	0.14224
795	0.14224
796	0.14224
797	0.14224
798	0.14224
799	0.14224
800	0.14224
801	0.14224
802	0.14224
803	0.14224
804	0.14224
805	0.14224
806	0.14224
807	0.14224
808	0.14224
809	0.14224
810	0.14224
811	0.14224
812	0.14224
813	0.14224
814	0.14224
815	0.14224
816	0.14224
817	0.14224
818	0.14224
819	0.14224
820	0.14224
821	0.14224
822	0.14224
823	0.14224
824	0.14224
825	0.14224
826	0.14224
827	0.14224
828	0.14224
829	0.14224
830	0.14224
831	0.14224
832	0.14224
833	0.14224
834	0.14224
835	0.14224
836	0.14224
837	0.14224
838	0.14224
839	0.14224
840	0.14224
841	0.14224
842	0.14224
843	0.14224
844	0.14224
845	0.14224
846	0.14224
847	0.14224
848	0.14224
849	0.14224
850	0.14224
851	0.14224
852	0.14224
853	0.14224
854	0.14224
855	0.14224
856	0.14224
857	0.14224
858	0.14224
859	0.14224
860	0.14224
861	0.14224
862	0.14224
863	0.14224
864	0.14224
865	0.14224
866	0.14224
867	0.14224
868	0.14224
869	0.14224
870	0.14224
871	0.14224
872	0.14224
873	0.14224
874	0.14224
875	0.14224
876	0.14224
877	0.14224
878	0.14224
879	0.14224
880	0.14224
881	0.14224
882	0.14224
883	0.14224
884	0.14224
885	0.14224
886	0.14224
887	0.14224
888	0.14224
889	0.14224
890	0.14224
891	0.14224
892	0.14224
893	0.14224
894	0.14224
895	0.14224
896	0.14224
897	0.14224
898	0.14224
899	0.14224
900	0.14224
901	0.14224
902	0.14224
903	0.14224
904	0.14224
905	0.14224
906	0.14224
907	0.14224
908	0.14224
909	0.14224
910	0.14224
911	0.14224
912	0.14224
913	0.14224
914	0.14224
915	0.14224
916	0.14224
917	0.14224
918	0.14224
919	0.14224
920	0.14224
921	0.14224
922	0.14224
923	0.14224
924	0.14224
925	0.14224
926	0.14224
927	0.14224
928	0.14224
929	0.14224
930	0.14224
931	0.14224
932	0.14224
933	0.14224
934	0.14224
935	0.14224
936	0.14224
937	0.14224
938	0.14224
939	0.14224
940	0.14224
941	0.14224
942	0.14224
943	0.14224
944	0.14224
945	0.14224
946	0.14224
947	0.14224
948	0.14224
949	0.14224
950	0.14224
951	0.14224
952	0.14224
953	0.14224
954	0.14224
955	0.14224
956	0.14224
957	0.14224
958	0.14224
959	0.14224
960	0.14224
961	0.14224
962	0.14224
963	0.14224
964	0.14224
965	0.14224
966	0.14224
967	0.14224
968	0.14224
969	0.14224
970	0.14224
971	0.14224
972	0.14224
973	0.14224
974	0.14224
975	0.14224
976	0.14224
977	0.14224
978	0.14224
979	0.14224
980	0.14224
981	0.14224
982	0.14224
983	0.14224
984	0.14224
985	0.14224
986	0.14224
987	0.14224
988	0.14224
989	0.14224
990	0.14224
991	0.14224
992	0.14224
993	0.14224
994	0.14224
995	0.14224
996	0.14224
997	0.14224
998	0.14224
999	0.14224
1000	0.14224
1001	0.14224
1002	0.14224
1003	0.14224
1004	0.14224
1005	0.14224
1006	0.14224
1007	0.14224
1008	0.14224
1009	0.14224
1010	0.14224
1011	0.14224
1012	0.14224
1013	0.14224
1014	0.14224
1015	0.14224
1016	0.14224
1017	0.14224
1018	0.14224
1019	0.14224
1020	0.14224
1021	0.14224
1022	0.14224
1023	0.14224
1024	0.14224
1025	0.14224
1026	0.14224
1027	0.14224
1028	0.14224
1029	0.14224
1030	0.14224
1031	0.14224
1032	0.14224
1033	0.14224
1034	0.14224
1035	0.14224
1036	0.14224
1037	0.14224
1038	0.14224
1039	0.14224
1040	0.14224
1041	0.14224
1042	0.14224
1043	0.14224
1044	0.14224
1045	0.14224
1046	0.14224
1047	0.14224
1048	0.14224
1049	0.14224
1050	0.14224
1051	0.14224
1052	0.14224
1053	0.14224
1054	0.14224
1055	0.14224
1056	0.14224
1057	0.14224
1058	0.14224
1059	0.14224
1060	0.14224
1061	0.14224
1062	0.14224
1063	0.14224
1064	0.14224
1065	0.14224
1066	0.14224
1067	0.14224
1068	0.14224
1069	0.14224
1070	0.14224
1071	0.14224
1072	0.14224
1073	0.14224
1074	0.14224
1075	0.14224
1076	0.14224
1077	0.14224
1078	0.14224
1079	0.14224
1080	0.14224
1081	0.14224
1082	0.14224
1083	0.14224
1084	0.14224
1085	0.14224
1086	0.14224
1087	0.14224
1088	0.14224
1089	0.14224
1090	0.14224
1091	0.14224
1092	0.14224
1093	0.14224
1094	0.14224
1095	0.14224
1096	0.14224
1097	0.14224
1098	0.14224
1099	0.14224
1100	0.14224
1101	0.14224
1102	0.14224
1103	0.14224
1104	0.14224
1105	0.14224
1106	0.14224
1107	0.14224
1108	0.14224
1109	0.14224
1110	0.14224
1111	0.14224
1112	0.14224
1113	0.14224
1114	0.14224
1115	0.14224
1116	0.14224
